facility_id,reasons
CO01281,synthetic_cloud_unauditable
CO01283,synthetic_cloud_unauditable
CO01300,synthetic_cloud_unauditable
CO01359,ddf_name_collision
CO01402,ddf_name_collision;tail_sensitivity_lost_name_collision
CO01404,ddf_name_collision;tail_sensitivity_lost_name_collision
CO01484,ddf_name_collision
CO01656,ddf_name_collision;synthetic_cloud_unauditable;tail_sensitivity_lost_name_collision
CO01663,ddf_name_collision;tail_sensitivity_lost_name_collision
CO01670,ddf_name_collision;tail_sensitivity_lost_name_collision
CO01675,synthetic_cloud_unauditable
CO01688,synthetic_cloud_unauditable
CO01720,ddf_name_collision;tail_sensitivity_lost_name_collision
CO01734,ddf_name_collision;tail_sensitivity_lost_name_collision
CO01736,ddf_name_collision;tail_sensitivity_lost_name_collision
CO01739,ddf_name_collision
CO01748,ddf_name_collision
CO01823,ddf_name_collision
CO01827,ddf_name_collision;tail_sensitivity_lost_name_collision
CO01835,ddf_name_collision;tail_sensitivity_lost_name_collision
CO01860,ddf_name_collision;tail_sensitivity_lost_name_collision
CO01885,ddf_name_collision
CO01912,ddf_name_collision
CO01916,ddf_name_collision
CO01917,ddf_name_collision;tail_sensitivity_lost_name_collision
CO01927,ddf_name_collision;tail_sensitivity_lost_name_collision
CO01990,ddf_name_collision;tail_sensitivity_lost_name_collision
CO02041,ddf_name_collision
CO02045,ddf_name_collision;tail_sensitivity_lost_name_collision
CO02049,ddf_name_collision;tail_sensitivity_lost_name_collision
CO02051,ddf_name_collision;tail_sensitivity_lost_name_collision
CO02073,ddf_name_collision
CO02114,ddf_name_collision;tail_sensitivity_lost_name_collision
CO02126,ddf_name_collision
CO02159,ddf_name_collision;tail_sensitivity_lost_name_collision
CO02189,ddf_name_collision;tail_sensitivity_lost_name_collision
CO02256,ddf_name_collision
CO02273,ddf_name_collision;tail_sensitivity_lost_name_collision
CO02280,ddf_name_collision;tail_sensitivity_lost_name_collision
CO02299,ddf_name_collision
CO02585,ddf_name_collision;tail_sensitivity_lost_name_collision
CO02592,ddf_name_collision
CO02707,synthetic_cloud_unauditable
CO02797,ddf_name_collision
CO02811,ddf_name_collision
CO02834,ddf_name_collision
CO02888,ddf_name_collision;tail_sensitivity_lost_name_collision
CO02922,ddf_name_collision;tail_sensitivity_lost_name_collision
CO02926,ddf_name_collision;tail_sensitivity_lost_name_collision
CT00076,ddf_name_collision;tail_sensitivity_lost_name_collision
CT00077,ddf_name_collision
CT00078,ddf_name_collision;tail_sensitivity_lost_name_collision
CT00083,ddf_name_collision
CT00099,ddf_name_collision;tail_sensitivity_lost_name_collision
CT00104,ddf_name_collision;tail_sensitivity_lost_name_collision
CT00106,ddf_name_collision;tail_sensitivity_lost_name_collision
CT00119,ddf_name_collision;tail_sensitivity_lost_name_collision
CT00135,ddf_name_collision;tail_sensitivity_lost_name_collision
CT00138,ddf_name_collision;tail_sensitivity_lost_name_collision
CT00154,ddf_name_collision;tail_sensitivity_lost_name_collision
CT00155,ddf_name_collision;tail_sensitivity_lost_name_collision
CT00157,ddf_name_collision;tail_sensitivity_lost_name_collision
CT00216,ddf_name_collision
CT00254,ddf_name_collision;tail_sensitivity_lost_name_collision
CT00277,ddf_name_collision;tail_sensitivity_lost_name_collision
CT00285,ddf_name_collision;tail_sensitivity_lost_name_collision
CT00317,ddf_name_collision;tail_sensitivity_lost_name_collision
CT00327,ddf_name_collision;tail_sensitivity_lost_name_collision
CT00328,ddf_name_collision
CT00341,ddf_name_collision;tail_sensitivity_lost_name_collision
CT00344,ddf_name_collision
CT00355,ddf_name_collision;tail_sensitivity_lost_name_collision
CT00375,ddf_name_collision
CT00380,ddf_name_collision;tail_sensitivity_lost_name_collision
CT00383,ddf_name_collision
CT00404,ddf_name_collision
CT00418,ddf_name_collision;tail_sensitivity_lost_name_collision
CT00423,ddf_name_collision;tail_sensitivity_lost_name_collision
CT00434,ddf_name_collision
CT00440,ddf_name_collision
CT00450,ddf_name_collision;tail_sensitivity_lost_name_collision
CT00462,ddf_name_collision;tail_sensitivity_lost_name_collision
CT00487,ddf_name_collision
CT00504,ddf_name_collision;tail_sensitivity_lost_name_collision
CT00520,ddf_name_collision;tail_sensitivity_lost_name_collision
CT00527,ddf_name_collision
CT00541,ddf_name_collision;tail_sensitivity_lost_name_collision
CT00551,ddf_name_collision;tail_sensitivity_lost_name_collision
CT00562,ddf_name_collision
CT00574,ddf_name_collision
CT00579,ddf_name_collision
CT00592,ddf_name_collision
CT00593,ddf_name_collision;tail_sensitivity_lost_name_collision
CT00637,ddf_name_collision
CT00645,ddf_name_collision;tail_sensitivity_lost_name_collision
DE00028,ddf_name_collision;tail_sensitivity_lost_name_collision
DE00046,ddf_name_collision;tail_sensitivity_lost_name_collision
DE00064,ddf_name_collision
DE00104,ddf_name_collision;tail_sensitivity_lost_name_collision
FL00058,ddf_name_collision
