facility_id,name_bor,name_nid,state,latitude,longitude,elevation_m_bor,nid_storage_acreft,duration,match_key,coord_shift_km,cohort,band_bound,nid_rank,est_completed_utc,fullT_resolved,n_stations_bor_pre,n_stations_nid,H1_bor_pre,H1_nid,chosen_dist_bor_pre,chosen_dist_nid,depth_nid_T100,depth_bor_pre_T100,depth_bor_post_T100,depth_nid_T10000,depth_bor_pre_T10000,depth_bor_post_T10000,depth_10k_nid_diag,depth_10k_bor_pre_diag,reldiff_T100_vs_pre_pct,reldiff_T10000_vs_pre_pct,reldiff_T100_vs_post_pct,reldiff_T10000_vs_post_pct,reldiff_T10000_diag_vs_pre_pct,scale_ratio_pre,shape_spread_pre_pct,scale_ratio_post,shape_spread_post_pct,exact_all_T_vs_bor_pre
CA10145,EAST PARK DAM,EAST PARK DAM,CA,39.3614,-122.5134,376,54300,72h,nid_facility_id,0.0,wide_band,True,1251.0,2026-08-12 05:02:23.962500096+00:00,True,41,52,0.945,0.668,GEV,GEV,263.11,445.28,397.65,411.87,824.13,735.97,411.9,824.1,-40.9113,-50.0237,-33.8338,-44.0371,-50.0182,0.5839,28.307,0.6538,28.3056,False
CA10148,FOLSOM RIGHT WING,FOLSOM RIGHT WING,CA,38.7102,-121.1637,121,1120000,24h,nid_facility_id,0.0,wide_band,True,676.0,,True,54,55,-0.39,0.462,GEV,GEV,167.95,235.0,279.45,284.62,419.46,498.79,284.6,419.5,-28.5319,-32.1461,-39.8998,-42.9379,-32.1573,0.712,9.3344,0.5988,9.3382,False
CA10148,FOLSOM RIGHT WING,FOLSOM RIGHT WING,CA,38.7102,-121.1637,121,1120000,72h,nid_facility_id,0.0,wide_band,True,676.0,,True,52,54,-0.64,0.087,GEV,GEV,272.91,419.46,480.68,471.1,773.47,886.35,471.1,773.5,-34.9378,-39.0927,-43.2242,-46.8494,-39.095,0.6475,12.6067,0.565,12.6094,False
CA10154,FRIANT,FRIANT,CA,37.0,-119.703,168,520500,24h,nid_facility_id,0.0,narrow_band,,245.0,,True,35,35,0.741,0.741,GEV,GEV,186.55,186.55,,340.3,340.3,,340.3,340.3,0.0,0.0,,,0.0,1.0,0.0,,,True
CA10154,FRIANT,FRIANT,CA,37.0,-119.703,168,520500,72h,nid_facility_id,0.0,narrow_band,,245.0,,True,39,39,0.657,0.657,GEV,GEV,327.94,327.94,,680.1,680.1,,680.1,680.1,0.0,0.0,,,0.0,1.0,0.0,,,True
CA10156,GLEN ANNE,GLEN ANNE,CA,34.4714,-119.8802,146,630,24h,nid_facility_id,0.0,wide_band,True,16002.0,2026-08-14 15:24:14.840000+00:00,True,29,44,-0.398,0.912,GNO,GNO,170.24,206.44,137.77,300.88,384.01,256.27,300.9,384.0,-17.5354,-21.6479,23.5683,17.4074,-21.6406,0.8208,15.0492,1.23,15.0577,False
CA10156,GLEN ANNE,GLEN ANNE,CA,34.4714,-119.8802,146,630,72h,nid_facility_id,0.0,wide_band,True,16002.0,2026-08-14 15:24:14.840000+00:00,True,31,43,-0.895,0.94,PE3,PE3,246.47,291.55,162.54,400.95,497.85,277.54,400.9,497.8,-15.4622,-19.4637,51.6365,44.4657,-19.4656,0.8411,19.0277,1.5087,19.0297,False
CA10159,IMPERIAL DIVERSION,IMPERIAL DIVERSION,CA,32.8833,-114.467,57,160000,24h,nid_facility_id,0.0,narrow_band,,504.0,,True,7,7,0.299,0.299,GNO,GNO,125.96,125.96,113.74,247.61,247.61,223.59,247.6,247.6,0.0,0.0,10.7438,10.7429,0.0,1.0,0.0,1.1075,0.0112,True
CA10159,IMPERIAL DIVERSION,IMPERIAL DIVERSION,CA,32.8833,-114.467,57,160000,72h,nid_facility_id,0.0,narrow_band,,504.0,,True,7,7,-0.299,-0.299,GEV,GEV,169.93,169.93,108.78,353.86,353.86,226.52,353.9,353.9,0.0,0.0,56.2144,56.2158,0.0,1.0,0.0,1.5622,0.0096,True
CA10160,KESWICK,KESWICK,CA,40.612,-122.4454,220,25132,24h,nid_facility_id,0.0,wide_band,True,1848.0,2026-08-12 07:15:38.289999872+00:00,True,44,44,1.018,0.792,GLO,GEV,178.04,184.44,181.16,279.71,409.15,401.88,279.7,409.1,-3.47,-31.6363,-1.7222,-30.3996,-31.6304,0.9469,38.1796,0.964,38.1835,False
CA10160,KESWICK,KESWICK,CA,40.612,-122.4454,220,25132,72h,nid_facility_id,0.0,wide_band,True,1848.0,2026-08-12 07:15:38.289999872+00:00,True,42,45,0.848,0.703,GLO,GEV,285.42,324.79,316.17,420.75,747.71,727.87,420.8,747.7,-12.1217,-43.7282,-9.7258,-42.1943,-43.7207,0.8556,53.5387,0.8789,53.5408,False
CA10162,LAKE TAHOE,LAKE TAHOE,CA,39.1671,-120.144,2054,732000,24h,nid_facility_id,0.0,narrow_band,,180.0,,True,44,44,0.976,0.976,GEV,GEV,194.79,194.79,196.12,364.1,364.1,366.59,364.1,364.1,0.0,0.0,-0.6782,-0.6792,0.0,1.0,0.0,0.9932,0.0079,True
CA10162,LAKE TAHOE,LAKE TAHOE,CA,39.1671,-120.144,2054,732000,72h,nid_facility_id,0.0,narrow_band,,180.0,,True,42,42,0.419,0.419,GEV,GEV,337.14,337.14,339.99,660.13,660.13,665.7,660.1,660.1,0.0,0.0,-0.8383,-0.8367,0.0,1.0,0.0,0.9916,0.0059,True
CA10164,LAURO,LAURO,CA,34.4542,-119.7272,370,855,24h,nid_facility_id,0.0,wide_band,True,13393.0,2026-08-14 05:58:50.095000064+00:00,True,32,46,-0.648,0.841,GNO,GNO,169.03,207.48,134.84,300.06,384.4,249.83,300.1,384.4,-18.5319,-21.9407,25.356,20.1057,-21.9303,0.8115,12.8104,1.2486,12.8165,False
CA10164,LAURO,LAURO,CA,34.4542,-119.7272,370,855,72h,nid_facility_id,0.0,wide_band,True,13393.0,2026-08-14 05:58:50.095000064+00:00,True,34,43,-1.286,0.895,PE3,PE3,247.51,296.23,165.58,401.72,506.53,283.13,401.7,506.5,-16.4467,-20.6918,49.4806,41.8854,-20.691,0.831,19.232,1.4867,19.2224,False
CA10165,LEWISTON,LEWISTON,CA,40.725,-122.795,664,14660,24h,nid_facility_id,0.0,wide_band,True,2424.0,2026-08-12 13:16:52.380000+00:00,True,41,45,0.841,0.732,GLO,GEV,181.72,168.98,177.07,287.72,361.93,379.26,287.7,361.9,7.5394,-20.504,2.6261,-24.1365,-20.5029,1.0579,32.6698,1.0096,32.6735,False
CA10165,LEWISTON,LEWISTON,CA,40.725,-122.795,664,14660,72h,nid_facility_id,0.0,wide_band,True,2424.0,2026-08-12 13:16:52.380000+00:00,True,40,46,0.727,0.978,GEV,GEV,298.12,275.79,295.35,439.84,431.44,462.04,439.8,431.4,8.0967,1.947,0.9379,-4.8048,1.9471,1.0758,13.5296,1.0046,13.5329,False
CA10166,LITTLE PANOCHE DETENTION,LITTLE PANOCHE DETENTION,CA,36.7835,-120.7971,226,13240,24h,nid_facility_id,0.0,wide_band,True,2560.0,2026-08-12 13:44:16.750000128+00:00,True,25,45,0.252,0.694,GEV,GLO,106.21,198.9,161.14,256.66,356.87,289.11,256.7,356.9,-46.6013,-28.0803,-34.0884,-11.2241,-28.0751,0.5429,39.9204,0.6701,39.9163,False
CA10166,LITTLE PANOCHE DETENTION,LITTLE PANOCHE DETENTION,CA,36.7835,-120.7971,226,13240,72h,nid_facility_id,0.0,wide_band,True,2560.0,2026-08-12 13:44:16.750000128+00:00,True,25,46,-0.603,0.753,GLO,GEV,141.76,361.18,281.55,232.16,1019.65,794.84,232.2,1019.6,-60.7509,-77.2314,-49.6502,-70.7916,-77.2264,0.3802,60.5426,0.4877,60.539,False
CA10167,LOS BANOS CREEK DETENTION DAM,LOS BANOS CREEK DETENTION DAM,CA,36.9919,-120.9322,128,51920,24h,nid_facility_id,0.0,wide_band,True,1273.0,2026-08-12 05:07:42.137499904+00:00,True,27,46,-0.316,0.811,GEV,GLO,114.74,196.25,164.96,280.41,360.65,303.15,280.4,360.7,-41.5338,-22.2487,-30.4437,-7.5012,-22.2623,0.5939,37.8974,0.7065,37.8951,False
CA10167,LOS BANOS CREEK DETENTION DAM,LOS BANOS CREEK DETENTION DAM,CA,36.9919,-120.9322,128,51920,72h,nid_facility_id,0.0,wide_band,True,1273.0,2026-08-12 05:07:42.137499904+00:00,True,27,46,-0.995,0.725,GEV,GLO,158.27,341.2,284.17,358.56,678.18,564.82,358.6,678.2,-53.6137,-47.1291,-44.3045,-36.5178,-47.1247,0.479,13.9207,0.5752,13.9214,False
CA10168,MARTINEZ,MARTINEZ,CA,38.011,-122.105,19,345,24h,nid_facility_id,0.0,wide_band,True,22575.0,2026-08-15 13:46:25.666666752+00:00,True,25,54,0.712,-1.548,GEV,GEV,148.45,228.1,212.94,283.79,403.63,376.81,283.8,403.6,-34.9189,-29.6906,-30.2855,-24.6862,-29.6829,0.6548,17.0934,0.7014,17.0953,False
CA10168,MARTINEZ,MARTINEZ,CA,38.011,-122.105,19,345,72h,nid_facility_id,0.0,wide_band,True,22575.0,2026-08-15 13:46:25.666666752+00:00,True,24,51,0.168,0.289,GEV,GNO,209.49,401.72,346.09,358.09,761.05,655.65,358.1,761.1,-47.8517,-52.9479,-39.4695,-45.384,-52.9497,0.5174,15.6692,0.6006,15.6681,False
CA10170,MONTICELLO,MONTICELLO,CA,38.513,-122.103,278,1602000,24h,nid_facility_id,0.0,narrow_band,,87.0,,True,39,39,0.516,0.516,GEV,GEV,258.39,258.39,222.4,455.48,455.48,392.04,455.5,455.5,0.0,0.0,16.1826,16.182,0.0,1.0,0.0,1.1618,0.005,True
CA10170,MONTICELLO,MONTICELLO,CA,38.513,-122.103,278,1602000,72h,nid_facility_id,0.0,narrow_band,,87.0,,True,40,40,-1.646,-1.646,GNO,GNO,472.4,472.4,374.04,871.17,871.17,689.78,871.2,871.2,0.0,0.0,26.2967,26.2968,0.0,1.0,0.0,1.263,0.005,True
CA10171,ONEILL FOREBAY DIKE,ONEILL FOREBAY DIKE,CA,37.1086,-121.057,71,64800,24h,nid_facility_id,0.0,wide_band,True,1129.0,2026-08-12 04:32:59.537499904+00:00,True,28,49,-0.239,0.839,GEV,GEV,117.92,196.09,162.59,220.06,359.28,297.89,220.1,359.3,-39.8643,-38.7497,-27.474,-26.1271,-38.742,0.6026,7.8583,0.7268,7.8669,False
CA10171,ONEILL FOREBAY DIKE,ONEILL FOREBAY DIKE,CA,37.1086,-121.057,71,64800,72h,nid_facility_id,0.0,wide_band,True,1129.0,2026-08-12 04:32:59.537499904+00:00,True,28,49,-1.1,0.937,GEV,GEV,154.53,344.02,281.98,248.21,688.31,564.17,248.2,688.3,-55.0811,-63.9392,-45.1982,-56.0044,-63.9401,0.4424,34.4541,0.5397,34.4552,False
