"site","site_id","duration","dist","T","growth_factor","depth_mm"
"BOR SOLDIER CREEK","UT10135","24h","GNO",10000,3.2925,117.28
"BOR SOLDIER CREEK","UT10135","24h","GLO",10000,4.8359,172.25
"BOR SOLDIER CREEK","UT10135","72h","GPA",10000,2.202,108.22
"BOR SOLDIER CREEK","UT10135","72h","PE3",10000,3.2042,157.48
"BOR SOLDIER CREEK","UT10135","72h","GNO",10000,3.6141,177.62
"BOR SOLDIER CREEK","UT10135","72h","GEV",10000,3.7371,183.67
"BOR SOLDIER CREEK","UT10135","72h","GLO",10000,5.4906,269.85
"GLENDO DIKE NO. 2","WY01486","24h","GPA",10000,2.4788,100
"GLENDO DIKE NO. 2","WY01486","24h","PE3",10000,3.6948,149.06
"GLENDO DIKE NO. 2","WY01486","24h","GNO",10000,4.2066,169.7
"GLENDO DIKE NO. 2","WY01486","24h","GEV",10000,4.3722,176.38
"GLENDO DIKE NO. 2","WY01486","24h","GLO",10000,6.5215,263.09
"GLENDO DIKE NO. 2","WY01486","72h","GPA",10000,2.4297,122.27
"GLENDO DIKE NO. 2","WY01486","72h","PE3",10000,3.6525,183.8
"GLENDO DIKE NO. 2","WY01486","72h","GNO",10000,4.1262,207.64
"GLENDO DIKE NO. 2","WY01486","72h","GEV",10000,4.2463,213.68
"GLENDO DIKE NO. 2","WY01486","72h","GLO",10000,6.3462,319.35
"GLENDO DIKE NO. 1","WY01485","24h","GPA",10000,2.4788,100
"GLENDO DIKE NO. 1","WY01485","24h","PE3",10000,3.6948,149.06
"GLENDO DIKE NO. 1","WY01485","24h","GNO",10000,4.2066,169.7
"GLENDO DIKE NO. 1","WY01485","24h","GEV",10000,4.3722,176.38
"GLENDO DIKE NO. 1","WY01485","24h","GLO",10000,6.5215,263.09
"GLENDO DIKE NO. 1","WY01485","72h","GPA",10000,2.4297,122.27
"GLENDO DIKE NO. 1","WY01485","72h","PE3",10000,3.6525,183.8
"GLENDO DIKE NO. 1","WY01485","72h","GNO",10000,4.1262,207.64
"GLENDO DIKE NO. 1","WY01485","72h","GEV",10000,4.2463,213.68
"GLENDO DIKE NO. 1","WY01485","72h","GLO",10000,6.3462,319.35
"GLENDO DIKE NO. 3","WY01487","24h","GPA",10000,2.403,97.34
"GLENDO DIKE NO. 3","WY01487","24h","PE3",10000,3.6235,146.78
"GLENDO DIKE NO. 3","WY01487","24h","GNO",10000,4.0789,165.22
"GLENDO DIKE NO. 3","WY01487","24h","GEV",10000,4.179,169.28
"GLENDO DIKE NO. 3","WY01487","24h","GLO",10000,6.249,253.13
"GLENDO DIKE NO. 3","WY01487","72h","GPA",10000,2.3232,117.03
"GLENDO DIKE NO. 3","WY01487","72h","PE3",10000,3.5431,178.48
"GLENDO DIKE NO. 3","WY01487","72h","GNO",10000,3.9392,198.43
"GLENDO DIKE NO. 3","WY01487","72h","GEV",10000,3.9726,200.12
"GLENDO DIKE NO. 3","WY01487","72h","GLO",10000,5.9538,299.92
"FOLSOM RIGHT WING","CA10148","24h","GPA",10000,2.3055,242.94
"FOLSOM RIGHT WING","CA10148","24h","PE3",10000,3.3652,354.6
"FOLSOM RIGHT WING","CA10148","24h","GNO",10000,3.8229,402.83
"FOLSOM RIGHT WING","CA10148","24h","GEV",10000,3.9807,419.46
"FOLSOM RIGHT WING","CA10148","24h","GLO",10000,5.8714,618.68
"FOLSOM RIGHT WING","CA10148","72h","GPA",10000,2.492,436.84
"FOLSOM RIGHT WING","CA10148","72h","PE3",10000,3.6801,645.12
"FOLSOM RIGHT WING","CA10148","72h","GNO",10000,4.2129,738.53
"FOLSOM RIGHT WING","CA10148","72h","GEV",10000,4.4123,773.47
"FOLSOM RIGHT WING","CA10148","72h","GLO",10000,6.5617,1150.26
"GLENDO DIKE NO. 1","WY01291","24h","GPA",10000,2.4788,100
"GLENDO DIKE NO. 1","WY01291","24h","PE3",10000,3.6948,149.06
"GLENDO DIKE NO. 1","WY01291","24h","GNO",10000,4.2066,169.7
"GLENDO DIKE NO. 1","WY01291","24h","GEV",10000,4.3722,176.38
"GLENDO DIKE NO. 1","WY01291","24h","GLO",10000,6.5215,263.09
"GLENDO DIKE NO. 1","WY01291","72h","GPA",10000,2.4297,122.27
"GLENDO DIKE NO. 1","WY01291","72h","PE3",10000,3.6525,183.8
"GLENDO DIKE NO. 1","WY01291","72h","GNO",10000,4.1262,207.64
"GLENDO DIKE NO. 1","WY01291","72h","GEV",10000,4.2463,213.68
