"site","site_id","duration","T","F","growth_factor"
"GEORGE B STEVENSON","PA00914","72h",100,0.99,2.20747563074634
"GEORGE B STEVENSON","PA00914","72h",200,0.995,2.5234746173962
"GEORGE B STEVENSON","PA00914","72h",500,0.998,3.01316481997996
"GEORGE B STEVENSON","PA00914","72h",1000,0.999,3.44763837315789
"GEORGE B STEVENSON","PA00914","72h",2000,0.9995,3.94666927759861
"GEORGE B STEVENSON","PA00914","72h",5000,0.9998,4.72219745334487
"GEORGE B STEVENSON","PA00914","72h",10000,0.9999,5.41117138314289
"NANTAHALA","NC00371","24h",2,0.5,0.933388886234632
"NANTAHALA","NC00371","24h",5,0.8,1.23250123909994
"NANTAHALA","NC00371","24h",10,0.9,1.44141281032976
"NANTAHALA","NC00371","24h",25,0.96,1.71844269287581
"NANTAHALA","NC00371","24h",50,0.98,1.93382553269058
"NANTAHALA","NC00371","24h",100,0.99,2.15630722060536
"NANTAHALA","NC00371","24h",200,0.995,2.38693583519443
"NANTAHALA","NC00371","24h",500,0.998,2.70550108439924
"NANTAHALA","NC00371","24h",1000,0.999,2.95753734697237
"NANTAHALA","NC00371","24h",2000,0.9995,3.21961413831029
"NANTAHALA","NC00371","24h",5000,0.9998,3.5822280542495
"NANTAHALA","NC00371","24h",10000,0.9999,3.86933654829311
"NANTAHALA","NC00371","72h",2,0.5,0.934698364303528
"NANTAHALA","NC00371","72h",5,0.8,1.22688170327311
"NANTAHALA","NC00371","72h",10,0.9,1.431187175296
"NANTAHALA","NC00371","72h",25,0.96,1.70238999900822
"NANTAHALA","NC00371","72h",50,0.98,1.91345414411243
"NANTAHALA","NC00371","72h",100,0.99,2.13166095807885
"NANTAHALA","NC00371","72h",200,0.995,2.35805024049362
"NANTAHALA","NC00371","72h",500,0.998,2.67106779786519
"NANTAHALA","NC00371","72h",1000,0.999,2.91895756598409
"NANTAHALA","NC00371","72h",2000,0.9995,3.17694049592345
"NANTAHALA","NC00371","72h",5000,0.9998,3.53424093136975
"NANTAHALA","NC00371","72h",10000,0.9999,3.81741919749112
"SHERMAN DAM","NE01077","24h",2,0.5,0.929725102427721
"SHERMAN DAM","NE01077","24h",5,0.8,1.25295815456349
"SHERMAN DAM","NE01077","24h",10,0.9,1.47701275035021
"SHERMAN DAM","NE01077","24h",25,0.96,1.77209036150491
"SHERMAN DAM","NE01077","24h",50,0.98,1.99998433253489
"SHERMAN DAM","NE01077","24h",100,0.99,2.23406200675473
"SHERMAN DAM","NE01077","24h",200,0.995,2.4753503864949
"SHERMAN DAM","NE01077","24h",500,0.998,2.80647292071185
"SHERMAN DAM","NE01077","24h",1000,0.999,3.066749518215
"SHERMAN DAM","NE01077","24h",2000,0.9995,3.33588444590615
"SHERMAN DAM","NE01077","24h",5000,0.9998,3.7058484077983
"SHERMAN DAM","NE01077","24h",10000,0.9999,3.99688385083101
"SHERMAN DAM","NE01077","72h",2,0.5,0.943308785919289
"SHERMAN DAM","NE01077","72h",5,0.8,1.25057529791549
"SHERMAN DAM","NE01077","72h",10,0.9,1.45359434745948
"SHERMAN DAM","NE01077","72h",25,0.96,1.70963409608808
"SHERMAN DAM","NE01077","72h",50,0.98,1.89923672148064
"SHERMAN DAM","NE01077","72h",100,0.99,2.08715150521175
"SHERMAN DAM","NE01077","72h",200,0.995,2.2740958433184
"SHERMAN DAM","NE01077","72h",500,0.998,2.52029923542946
"SHERMAN DAM","NE01077","72h",1000,0.999,2.70604675442614
"SHERMAN DAM","NE01077","72h",2000,0.9995,2.89144616377215
"SHERMAN DAM","NE01077","72h",5000,0.9998,3.13605217265004
"SHERMAN DAM","NE01077","72h",10000,0.9999,3.32074757396774
"CHINA HAT","ID00266","24h",2,0.5,0.945246824809538
"CHINA HAT","ID00266","24h",5,0.8,1.22769710580435
"CHINA HAT","ID00266","24h",10,0.9,1.41690001293061
"CHINA HAT","ID00266","24h",25,0.96,1.65848991187722
"CHINA HAT","ID00266","24h",50,0.98,1.8395593584596
"CHINA HAT","ID00266","24h",100,0.99,2.02086055923813
"CHINA HAT","ID00266","24h",200,0.995,2.20306814154926
"CHINA HAT","ID00266","24h",500,0.998,2.44587388759157
"CHINA HAT","ID00266","24h",1000,0.999,2.63122296402605
"CHINA HAT","ID00266","24h",2000,0.9995,2.81810541931081
"CHINA HAT","ID00266","24h",5000,0.9998,3.06758019618466
"CHINA HAT","ID00266","24h",10000,0.9999,3.25817557606872
"CHINA HAT","ID00266","72h",2,0.5,0.946819536013395
"CHINA HAT","ID00266","72h",5,0.8,1.2202671910338
"CHINA HAT","ID00266","72h",10,0.9,1.40360878945279
"CHINA HAT","ID00266","72h",25,0.96,1.63790971897256
"CHINA HAT","ID00266","72h",50,0.98,1.81365840550589
"CHINA HAT","ID00266","72h",100,0.99,1.98975307035147
"CHINA HAT","ID00266","72h",200,0.995,2.1668491387841
"CHINA HAT","ID00266","72h",500,0.998,2.40303034598618
"CHINA HAT","ID00266","72h",1000,0.999,2.58346499917073
"CHINA HAT","ID00266","72h",2000,0.9995,2.7655162039355
"CHINA HAT","ID00266","72h",5000,0.9998,3.00873369357659
"CHINA HAT","ID00266","72h",10000,0.9999,3.19469529988761
